id,State,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,Issue_Year,Month,Month Name,Quarter,Annual_Income_Band,Interest_Rate_Band,DTI_Band,Empt_Lgth_Experience_Group
1065752,California,INDIVIDUAL,9 years,City & County Of San Francisco,B,RENT,"Friday, November 12, 2021","Sunday, May 16, 2021","Friday, January 15, 2021",Fully Paid,"Monday, February 15, 2021",1299871,Debt consolidation,B1, 36 months,Source Verified,61000,0.1035,805.63,0.0991,25000,10,29002,2021,11,November,4,Upper Middle Income,Moderate Interest,Moderate DTI,Experienced
1065663,California,INDIVIDUAL,6 years,City Of Capitola,B,RENT,"Friday, November 12, 2021","Sunday, May 16, 2021","Friday, May 14, 2021",Fully Paid,"Monday, June 14, 2021",1299774,Debt consolidation,B1, 36 months,Not Verified,110000,0.0838,418.93,0.0991,13000,14,14960,2021,11,November,4,High Income,Moderate Interest,Low DTI,Experienced
1064623,California,INDIVIDUAL,6 years,Ecr Inc,B,RENT,"Friday, November 12, 2021","Sunday, May 16, 2021","Friday, January 15, 2021",Fully Paid,"Monday, February 15, 2021",1298440,Debt consolidation,B2, 36 months,Not Verified,60000,0.1636,182.42,0.1065,5600,25,6567,2021,11,November,4,Upper Middle Income,Moderate Interest,Moderate DTI,Experienced
1063228,California,INDIVIDUAL,4 years,Cloudmark,B,RENT,"Friday, November 12, 2021","Sunday, May 16, 2021","Friday, May 14, 2021",Fully Paid,"Monday, June 14, 2021",1295731,Debt consolidation,B2, 36 months,Not Verified,100000,0.0199,135.18,0.1065,4150,8,4834,2021,11,November,4,High Income,Moderate Interest,Low DTI,Mid Career
1059974,California,INDIVIDUAL,7 years,Cox Communications,B,RENT,"Friday, November 12, 2021","Sunday, May 16, 2021","Wednesday, October 13, 2021",Fully Paid,"Saturday, November 13, 2021",1291594,Debt consolidation,B1, 36 months,Verified,65000,0.1036,515.6,0.0991,16000,17,17996,2021,11,November,4,Upper Middle Income,Moderate Interest,Moderate DTI,Experienced
1058423,California,INDIVIDUAL,3 years,State Of Calif.In-Home Suportive Service,B,RENT,"Friday, November 12, 2021","Sunday, May 16, 2021","Thursday, October 14, 2021",Fully Paid,"Sunday, November 14, 2021",1290007,Debt consolidation,B1, 36 months,Source Verified,45408,0.2492,563.14,0.0991,17475,27,20264,2021,11,November,4,Middle Income,Moderate Interest,High DTI,Early Career
796685,California,INDIVIDUAL,1 year,Storer Transit Systems,B,RENT,"Saturday, November 6, 2021","Sunday, May 16, 2021","Wednesday, July 14, 2021",Fully Paid,"Saturday, August 14, 2021",1001553,Debt consolidation,B2, 36 months,Not Verified,60000,0.1934,358.81,0.1059,11025,22,12917,2021,11,November,4,Upper Middle Income,Moderate Interest,Moderate DTI,New Employee
1048423,California,INDIVIDUAL,1 year,"Porter Scott, Apc",B,RENT,"Friday, November 12, 2021","Sunday, May 16, 2021","Wednesday, April 14, 2021",Fully Paid,"Friday, May 14, 2021",1279753,Debt consolidation,B3, 36 months,Not Verified,70000,0.1982,330.76,0.1171,10000,37,11795,2021,11,November,4,Upper Middle Income,Moderate Interest,Moderate DTI,New Employee
788978,California,INDIVIDUAL,10+ years,Howard Rice Law Firm,B,RENT,"Saturday, November 6, 2021","Sunday, May 16, 2021","Tuesday, April 13, 2021",Fully Paid,"Thursday, May 13, 2021",992788,Debt consolidation,B2, 36 months,Not Verified,83000,0.1602,292.91,0.1059,9000,38,10250,2021,11,November,4,Upper Middle Income,Moderate Interest,Moderate DTI,Long Term Employee
797001,California,INDIVIDUAL,10+ years,Amd,B,RENT,"Saturday, November 6, 2021","Sunday, May 16, 2021","Thursday, May 13, 2021",Fully Paid,"Sunday, June 13, 2021",1001916,Debt consolidation,B4, 36 months,Not Verified,72800,0.1467,310.76,0.1149,9425,28,10890,2021,11,November,4,Upper Middle Income,Moderate Interest,Moderate DTI,Long Term Employee
803519,California,INDIVIDUAL,2 years,Pacific Capital Bancorp,B,RENT,"Sunday, November 7, 2021","Sunday, May 16, 2021","Saturday, December 4, 2021",Fully Paid,"Sunday, December 5, 2021",1009288,Debt consolidation,B1, 36 months,Not Verified,18600,0.04,54.85,0.0999,1700,6,1815,2021,11,November,4,Low Income,Moderate Interest,Low DTI,Early Career
1053176,California,INDIVIDUAL,2 years,Baynote,B,RENT,"Friday, November 12, 2021","Sunday, May 16, 2021","Tuesday, July 13, 2021",Fully Paid,"Friday, August 13, 2021",1284734,Debt consolidation,B3, 36 months,Not Verified,90000,0.0721,109.16,0.1171,3300,5,3776,2021,11,November,4,Upper Middle Income,Moderate Interest,Low DTI,Early Career
